rank,korean_spelling,english_spelling_romanization,frequency_band,syllables,token_note,source_url
5194,와라,wara,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5195,우드,udeu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5196,위상,wisang,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5197,유진,yujin,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5198,이른,ireun,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5199,이른바,ireunba,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5201,인체,inche,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5202,자네,jane,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5203,자수,jasu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5204,작정,jakjeong,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5205,재개,jaegae,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5206,저지,jeoji,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5207,정서,jeongseo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5208,제니,jeni,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5210,지분,jibun,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5211,짐작,jimjak,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5212,착륙,chakryuk,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5213,촉구,chokgu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5214,춘천,chuncheon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5217,토대,todae,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5221,하여금,hayeogeum,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5222,학살,haksal,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5223,합법,hapbeop,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5224,해설,haeseol,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5225,향수,hyangsu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5233,가루,garu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5234,가벼운,gabyeoun,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5235,가져왔,gajyeowat,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5236,게시판,gesipan,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5238,고수,gosu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5239,기금,gigeum,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5240,기상청,gisangcheong,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5241,기숙사,gisuksa,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5242,기증,gijeung,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5244,꾸미,kkumi,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5245,내역,naeyeok,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5246,다녀오,danyeoo,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5247,단식,dansik,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5248,더러,deoreo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5249,도망가,domangga,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5251,들어와서,deuleowaseo,5001-6000,4,Supplementary frequency token,https://github.com/rspeer/wordfreq
5252,등기,deunggi,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5253,디저트,dijeoteu,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5254,레오,reo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5256,명시,myeongsi,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5257,몽골,monggol,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5258,바꿨,bakkwot,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5259,바이오,baio,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5261,배제,baeje,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5262,복용,bokyong,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5263,비스,biseu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5264,상해,sanghae,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5265,생물학,saengmulhak,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5266,선사,seonsa,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5267,세계관,segyegwan,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5268,소요,soyo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5269,손자,sonja,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5270,수년,sunyeon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5271,수명,sumyeong,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5272,수색,susaek,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5273,스티븐,seutibeun,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5275,쓴다,sseunda,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5276,엘리,elri,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5277,열려,yeolryeo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5278,예언,yeeon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5279,오피스,opiseu,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5281,요괴,yogoe,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5282,위안부,wianbu,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5284,윌리엄,wilrieom,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5285,육아,yuka,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5286,융합,yunghap,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5287,을래,eulrae,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5288,이별,ibyeol,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5290,자요,jayo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5291,전날,jeonnal,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5292,정답,jeongdap,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5293,정화,jeonghwa,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5294,제프,jepeu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5295,져서,jyeoseo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5296,조상,josang,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5297,종전,jongjeon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5298,주류,juryu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5299,주행,juhaeng,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5300,즐거웠,jeulgeowot,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5301,찾아내,chatanae,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5302,치우,chiu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5303,캐스트,kaeseuteu,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5305,팔리,palri,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5306,패밀리,paemilri,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5308,포켓몬,poketmon,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5309,함정,hamjeong,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5310,헬기,helgi,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5312,흔들리,heundeulri,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5313,흔한,heunhan,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5314,희생자,huisaengja,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5315,힘내,himnae,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5319,간접,ganjeop,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5320,감추,gamchu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5322,걸까요,geolkkayo,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5323,걸릴,geolril,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5324,고가,goga,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5325,고무,gomu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5326,굉장,goengjang,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5327,극장판,geukjangpan,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5328,녹화,nokhwa,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5330,다녀,danyeo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5331,단기,dangi,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5332,동성애,dongseongae,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5334,듀얼,dyueol,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5337,레이트,reiteu,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5338,막히,makhi,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5339,매각,maegak,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5340,명의,myeongui,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5341,모금,mogeum,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5342,모리,mori,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5343,몰리,molri,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5344,무너지,muneoji,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5345,무례,murye,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5346,문제점,munjejeom,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5347,물체,mulche,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5348,미아,mia,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5349,반짝,banjjak,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5350,발간,balgan,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5351,버그,beogeu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5352,벌어졌,beoleojyeot,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5353,복장,bokjang,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5354,부시,busi,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5355,비유,biyu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5356,비주얼,bijueol,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5357,빌보드,bilbodeu,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5358,사라진,sarajin,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5359,상임,sangim,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5360,상장,sangjang,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5361,서식,seosik,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5362,센서,senseo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5363,소셜,sosyeol,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5364,스토어,seutoeo,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5365,시정,sijeong,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5367,알고리즘,algorijeum,5001-6000,4,Supplementary frequency token,https://github.com/rspeer/wordfreq
5368,양자,yangja,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5369,어딨,eodit,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5371,영입,yeongip,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5372,오디오,odio,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5373,오리지널,orijineol,5001-6000,4,Supplementary frequency token,https://github.com/rspeer/wordfreq
5374,올릴,olril,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5375,워낙,wonak,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5376,워터,woteo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5377,원형,wonhyeong,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5378,윌슨,wilseun,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5379,이마,ima,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5380,이쁘,ippeu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5381,이어졌,ieojyeot,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5382,일생,ilsaeng,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5383,자궁,jagung,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5384,저러,jeoreo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5385,점령,jeomryeong,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5386,중년,jungnyeon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5387,지경,jigyeong,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5388,지랄,jiral,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5389,진도,jindo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5390,집권,jipgwon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5391,창립,changrip,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5392,창업,changeop,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5393,처방,cheobang,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5398,해소,haeso,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5399,희귀,huigwi,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5410,가져다,gajyeoda,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5411,개새끼,gaesaekki,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5412,걸어가,geoleoga,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5413,계셨,gyesyeot,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5414,광부,gwangbu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5415,교육부,gyoyukbu,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5416,그다지,geudaji,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5417,그립,geurip,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5418,기르,gireu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5419,기호,giho,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5420,단원,danwon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5421,달래,dalrae,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5422,당초,dangcho,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5423,대여,daeyeo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5424,대위,daewi,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5425,돌아보,dolabo,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5426,라우,rau,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5427,로켓,roket,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5428,마쳤,machyeot,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5429,마친,machin,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5430,멋져,meotjyeo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5431,명백,myeongbaek,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5433,미쳐,michyeo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5434,밤새,bamsae,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5435,베드,bedeu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5436,보전,bojeon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5437,복권,bokgwon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5438,본능,bonneung,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5440,분포,bunpo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5441,분해,bunhae,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5443,사당,sadang,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5444,사도,sado,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5445,사드,sadeu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5446,상금,sanggeum,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5447,선포,seonpo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5448,섬유,seomyu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5449,소나무,sonamu,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5450,소매,somae,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5451,수강,sugang,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5452,수소,suso,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5453,수자,suja,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5454,스미스,seumiseu,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5455,스페인어,seupeineo,5001-6000,4,Supplementary frequency token,https://github.com/rspeer/wordfreq
5456,시트,siteu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5457,신청서,sincheongseo,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5459,아마추어,amachueo,5001-6000,4,Supplementary frequency token,https://github.com/rspeer/wordfreq
5460,아이스,aiseu,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5461,안타,anta,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5462,압축,apchuk,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5464,영토,yeongto,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5465,예민,yemin,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5467,오페라,opera,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5468,올바른,olbareun,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5469,유대인,yudaein,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5470,유머,yumeo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5471,육군,yukgun,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5472,으려면,euryeomyeon,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5473,이득,ideuk,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5474,이슬람,iseulram,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5475,자바,jaba,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5476,전진,jeonjin,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5477,정복,jeongbok,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5478,좌파,jwapa,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5479,주한,juhan,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5480,증정,jeungjeong,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5481,지명,jimyeong,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5482,지지자,jijija,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5483,진료,jinryo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5485,찾아볼,chatabol,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5486,천연,cheonyeon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5487,천지,cheonji,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5488,최다,choeda,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5489,침투,chimtu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5490,카운티,kaunti,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5491,컬렉션,keolreksyeon,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5492,케빈,kebin,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5493,태우,taeu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5494,텍스트,tekseuteu,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5495,토마토,tomato,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5496,틀리,teulri,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5497,퍼지,peoji,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5498,프로세서,peuroseseo,5001-6000,4,Supplementary frequency token,https://github.com/rspeer/wordfreq
5499,행진,haengjin,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5500,혼인,honin,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5501,화력,hwaryeok,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5503,후드,hudeu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5510,각오,gako,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5511,간섭,ganseop,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5512,강연,gangyeon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5514,경보,gyeongbo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5515,곳곳,gotgot,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5516,공구,gonggu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5517,공군,gonggun,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5518,구단,gudan,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5519,구로,guro,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5520,군산,gunsan,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5522,그걸로,geugeolro,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5523,급하,geupha,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5525,날리,nalri,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5526,내주,naeju,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5527,냐면,nyamyeon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5528,뇌물,noemul,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5529,누이,nui,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5530,당기,danggi,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5531,더운,deoun,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5532,돌보,dolbo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5533,뚜렷,tturyeot,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5535,리터,riteo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5536,메이크업,meikeueop,5001-6000,4,Supplementary frequency token,https://github.com/rspeer/wordfreq
5538,무사히,musahi,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5539,미칠,michil,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5540,민원,minwon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5541,반환,banhwan,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5542,방콕,bangkok,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5543,뱀파이어,baempaieo,5001-6000,4,Supplementary frequency token,https://github.com/rspeer/wordfreq
5544,법무부,beopmubu,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5545,보정,bojeong,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5546,부근,bugeun,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5547,부당,budang,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5548,분열,bunyeol,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5549,사라져,sarajyeo,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5550,사명,samyeong,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5551,샌드위치,saendeuwichi,5001-6000,4,Supplementary frequency token,https://github.com/rspeer/wordfreq
5552,선교,seongyo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5553,세운,seun,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5554,소름,soreum,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5556,수련,suryeon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5557,순천,suncheon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5558,십자가,sipjaga,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5560,여태,yeotae,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5561,연세대,yeonsedae,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5562,연승,yeonseung,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5564,우울증,uuljeung,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
